GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
98.765,87.500,78.637,34.549,89,81,8,119,98,0,0,91.011,35111156.000,355500384.000,99630771.254,217844976.957,47456434000000000.000,150105723000000000.000,2844003395,2844003395,7,N
97.012,94.637,65.337,64.404,128,94,34,1802,1,0,1,73.438,2225381630.000,6152527400.000,3414362650.076,9575615433.424,91692430000000000000.000,107114890000000000000.000,209185902644,209185902644,17,N
80.143,75.000,47.251,29.589,62,58,4,25,25,0,0,93.548,3568965.500,51750000.000,3658302.068,29473505.051,868687470000000.000,3190099040000000.000,207000000,207000000,12,N
98.951,98.023,87.479,79.680,212,150,62,97,97,0,1,70.755,915354500.000,2214567420.000,3580421811.243,5268579919.835,27757932000000000000.000,29445891000000000000.000,137303189957,137303189957,6,N
92.260,94.000,25.057,67.700,85,65,20,335,103,0,0,76.471,81692288.000,244099968.000,40965247.214,339946304.584,115563500000000000.000,141939761000000000.000,4882000000,5310000000,4,N
94.128,87.500,50.118,27.274,582,574,8,1925,182,0,1,98.625,12014785.000,129198320.000,20384364.227,65508221.749,4291327040000000.000,18023310600000000.000,1033586605,6896492467,20,N
98.398,99.106,96.365,95.995,18353,12330,6023,1429,30,1,1,67.182,1515729280.000,3103019520.000,56014843198.439,87218485888.472,7607057700000000000000.000,7608340000000000000000.000,18689891478302,18689891480302,216,N
76.553,96.914,81.090,72.886,458,314,144,1547,726,0,1,68.559,440496320.000,960526590.000,1431429452.892,1981247042.402,3925338970000000000.000,4195771560000000000.000,138315878401,138315878401,19,N
94.815,85.714,52.482,60.832,52,45,7,85,85,0,0,86.538,84844432.000,545428540.000,95781455.454,670328693.411,449340544000000000.000,661478290000000000.000,3818000000,3818000000,5,N
98.287,94.189,43.885,35.683,352,268,84,153,153,0,1,76.136,69355856.000,221230688.000,66744949.393,167282826.318,27983550200000000.000,51049492000000000.000,18583373198,18587373198,11,N
95.621,66.667,13.333,38.608,68,65,3,609,186,0,0,95.588,950800060.000,20600666100.000,384014530.613,14619148455.305,213719500000000000000.000,599836700000000000000.000,61802000000,61802000000,2,N
94.614,77.778,16.106,68.376,63,57,6,120,44,0,0,90.476,96368424.000,893999940.000,35302517.965,1253111450.950,1570288280000000000.000,2206504330000000000.000,5364000000,5493000000,9,N
88.209,0.000,48.252,0.000,43,42,1,48,48,0,0,97.674,8238095.000,335000000.000,10288249.019,0.000,0.000,106773351000000000.000,335000000,346000000,3,N
95.709,86.258,90.281,80.257,800,759,41,1397,968,0,1,94.875,15360268.000,284351648.000,145230416.915,878687313.475,772091560000000000.000,844447880000000000.000,11658421740,11658421740,21,N
92.290,88.889,16.513,13.173,78,42,36,140,35,0,0,53.846,92452376.000,107611104.000,35013060.407,41670185.037,1736404410000000.000,1966191740000000.000,3874000000,3883000000,2,N
64.594,0.000,17.809,0.000,82,81,1,907,390,0,0,98.780,28456764.000,0.000,13543755.686,0.000,0.000,809787430000000.000,0,2305000000,2,N
74.556,0.000,50.509,0.000,40,39,1,805,1,0,0,97.500,80615.380,0.000,152631.049,0.000,0.000,6498840100.000,0,3144000,2,N
91.393,85.389,37.521,20.499,367,247,120,683,182,0,1,67.302,59667336.000,122815272.000,40943260.234,78769861.464,6204691800000000.000,10192360000000000.000,14737837218,14737837218,6,N
90.419,94.444,67.096,41.187,258,234,24,461,1,0,1,90.698,158545792.000,1533654400.000,443123356.340,1195232517.491,1428580750000000000.000,3319505040000000000.000,36807707870,37099707870,2,N
98.533,95.706,48.930,65.026,397,359,38,1734,1,0,1,90.428,95305168.000,900383170.000,260897911.984,1187510876.865,1410182210000000000.000,2058333180000000000.000,34214566640,34214566640,17,N
96.484,92.308,59.010,54.660,45,32,13,44,44,0,0,71.111,215150992.000,528984544.000,283898287.083,593811685.238,352612314000000000.000,451103782000000000.000,6876798435,6884832402,3,N
99.139,94.379,44.744,55.641,171,145,26,1229,180,0,1,84.795,275459968.000,1226852100.000,304166105.702,1383839611.042,1915012120000000000.000,2820159360000000000.000,31898155666,39941693062,5,N
99.504,98.357,81.354,77.601,311,243,68,356,356,0,1,78.135,34832912.000,124476448.000,166917930.217,308470789.804,95154236000000000.000,103190197000000000.000,8464398056,8464398056,6,N
95.716,94.923,47.957,68.518,973,600,373,499,1,0,1,61.665,4629385700.000,7436280800.000,5473336275.647,38080970699.126,1450159000000000000000.000,1458040500000000000000.000,2773732000000,2777632000000,37,N
92.362,86.420,73.068,62.285,98,89,9,725,220,0,0,90.816,22289008.000,220413616.000,52792811.347,266716393.694,71137629000000000.000,110391002000000000.000,1983722497,1983722497,5,N
97.113,86.527,51.944,75.085,291,232,59,1363,269,0,1,79.725,189598224.000,745200000.000,259271114.652,1399740848.159,1959274750000000000.000,2267968820000000000.000,43966799172,43986800172,6,N
40.963,44.444,32.172,2.837,61,58,3,94,8,0,0,95.082,1620689.600,31333334.000,1412110.045,1885618.083,3555555540000.000,886396690000000.000,94000000,94000000,10,N
99.233,99.348,44.707,39.124,593,376,217,698,0,0,1,63.406,128930944.000,223401120.000,106278917.689,169377041.724,28688573400000000.000,37613206000000000.000,48478065533,48478065533,6,N
97.928,98.833,89.440,86.582,26748,19179,7569,2472,155,1,1,71.703,294836768.000,747048190.000,3871907148.285,6432900122.208,41381260000000000000.000,41585550000000000000.000,5654377476654,5654454996188,869,N
82.364,75.000,61.277,44.550,61,57,4,689,151,0,0,93.443,200394480.000,2855622400.000,571002356.800,2352875624.322,5536023500000000000.000,12586259000000000000.000,11422489005,11422489005,3,N
45.581,0.000,20.930,0.000,38,37,1,1260,56,0,0,97.368,1299946.000,7000000.000,603700.389,0.000,0.000,32490616000000.000,7000000,48098000,2,N
92.839,50.000,85.702,32.684,166,164,2,906,29,0,1,98.795,743218.300,60889328.000,2238615.708,39802326.000,1584225130000000.000,5201779800000000.000,121778664,121887827,12,N
96.289,91.667,52.598,75.229,44,32,12,1560,25,0,0,72.727,15989394.000,40778688.000,17993242.533,89270072.231,7969144900000000.000,8583655900000000.000,489344287,511660605,3,N
97.329,94.737,61.343,52.465,112,93,19,575,1,0,1,83.036,87216560.000,426902272.000,113531973.718,564865079.511,319072605000000000.000,434458826000000000.000,8111141497,8111141497,3,N
98.148,94.118,47.757,47.996,189,172,17,746,205,0,1,91.005,160819200.000,1627111940.000,184770625.043,1464237970.327,2143993110000000000.000,4294007970000000000.000,27660906035,27660906035,4,N
98.753,90.909,45.121,71.143,95,84,11,659,133,0,0,88.421,201134928.000,1535939460.000,249902332.717,2528729742.426,6394473200000000000.000,8176176300000000000.000,16895332589,16895332589,4,N
